"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"CAF",-0.269783986795218,-0.474534996247146,-0.237868892552269,-0.475469428054166,-0.600348562323908,-0.187063912500716,-0.153913325898518,0.0167252866581871
"CTP",-0.436400785618121,0.181753944738556,-0.0209138076339936,-0.144328258565372,0.259772678247631,-0.185981550879006,-0.016668647655088,0.808024132602263
"CLA",-0.429831266134962,0.174868903428099,-0.0699312425211883,-0.0835376346267734,0.37063248701382,-0.51284570544276,-0.29971742491894,-0.531589448132582
"HCT",-0.038402743095159,-0.623682910651032,-0.524342404887844,0.186105613406978,0.507740759064212,0.20407629161606,-0.000363096479500273,0.0229489939986389
"NIC",-0.147894645073415,-0.532638350781705,0.762875769676703,0.246620131150959,0.0697833440690717,-0.100514345389665,-0.183557253527037,0.0543738735556919
"TTA",-0.373676455444885,0.0921659399771029,-0.234024588232638,0.786848462095102,-0.412212752329228,-0.0847287618380113,0.015362917455691,0.02527845836303
"VFX",-0.432072175557261,0.161681323487869,0.0795728146796433,-0.11367112451042,-0.0144976195304267,0.769161908508815,-0.403691708333761,-0.114597598188267
"X.OR",-0.449831059921742,-0.0623178217229992,0.141692927377341,-0.136422963928005,0.0439475965459893,0.129876736827962,0.83024448069502,-0.216737491297486
