CODE;WATER;HUM;BIO;CAF;CTP;CLA;HCT;NIC;TTA;VFX;∑OR;EC;TOC;pH;T;TDS;Na;K;Ca;Mg;Cl;SO4;HCO3;NO3;PO4 ;SiO2 ;Al;As;Ba;Cr;Cu;Mn;Mo;Tl;U;V;Zn
25_B;SURFACE;3;0;1.83;0.65;0.05;6;8.9;0.7;0.1;17;249;1.65;6.68;3.5;187.6;36;1;16;3;27;63;25;2;0;4.5;14.1;0.2;0.55;0.03;0.38;0.25;0.95;0.09;0.03;0.72;1.04
26_B;SURFACE;0;2;0.05;0.65;0.05;4;0.35;2.03;0.1;6;202;2.8;6.88;2.5;147;40;2;2;3;25;10;55;15;0;8.4;13.6;0.3;0.1;0.03;2.69;0.25;0.69;0.1;0.03;0.88;0.05
27_B;SURFACE;0;2;0.05;0.65;0.05;2.8;0.35;11.03;0.1;14;275;4.01;6.82;3.4;208;52;4;4;5;29;58;47;3;0;9.6;44.9;1.35;0.1;0.09;2.02;7.21;0.36;0.08;0.05;3.14;1.96
28_B;SEA;4;0;7.63;29.9;2.97;0.15;10;4.6;6.37;140;54000;1.74;6.98;3.4;39830;11807;486;480;1100;19600;3320;47;2;0;3.8;25;1.25;11.7;5.12;5;12.5;5;1.25;3.03;0;25
29_B;SURFACE;3;3;0.05;0.65;0.05;0.15;7.1;2.33;0.1;30;64;1.73;8.15;3.6;46.8;11;0;1;1;12;9;5;0.3;0;1.5;10.1;0.07;0.1;0.07;0.24;0.25;0.1;0.1;0.03;0.38;0.05
30_B;SURFACE;3;0;61.43;291.6;172.57;1.2;31.6;19.7;34.67;682;983;2.59;6.51;3.8;694.8;178;9;25;15;300;5;92;0.3;0;9.4;8.8;0.66;1.08;0.03;0.91;472;0.44;0.03;0.03;0.34;0.05
31_B;SURFACE;1;0;8.73;79.5;46.87;0.15;12.7;2.8;0.1;151;453;1.51;7.31;3.2;338.2;39;0;63;8;18;194;52;0.3;0;4.3;40.6;0.1;1.68;0.03;0.1;0.57;1.57;0.11;0.03;0.24;1.22
32_B;SURFACE;0;0;0.05;0.65;0.05;0.15;9.3;3.33;0.1;69;168;1.43;7.54;4.7;125.6;31;0;1;2;22;21;29;0.3;0.18;3.4;18.5;1.04;0.1;0.06;2.06;0.25;0.66;0.09;0.03;4.4;1.09
33_B;SURFACE;0;0;0.05;9.9;0.05;1.3;5.7;2.03;0.25;40;135;0.97;7.58;1.7;93.4;26;0;1;2;17;11;37;0.3;0.1;3.5;19.3;1.49;0.1;0.06;0.1;0.25;0.56;0.1;0.03;2.73;0.05
34_B;SURFACE;0;0;0.05;0.65;0.05;1.3;12.7;1.83;0.1;16;98;1.32;7.62;4.1;72;19;0;0;1;15;9;16;0.3;0.16;4.1;22;0.65;0.1;0.11;0.1;0.25;0.56;0.09;0.03;4.28;0.05
35_B;SURFACE;0;0;0.05;14.3;0.05;4.3;13;0.25;0.1;32;168;2.02;6.96;2.5;124.2;34;0;0;1;27;14;23;5;0.72;5.5;1.62;0.81;0.1;0.03;0.44;0.25;0.51;0.06;0.03;7.24;0.05
36_B;SURFACE;0;0;0.05;0.65;0.05;3.7;4;3.03;0.1;11;74;1.59;7.42;1.1;50;15;0;0;1;12;2;20;0.3;0.24;4.5;48.5;1.17;0.1;0.03;0.1;1.41;0.39;0.11;0.03;6.39;1.01
37_B;SURFACE;0;0;0.05;0.65;0.05;0.15;0.35;0.25;0.1;0;187;2.19;5.39;3.7;126.8;20;2;10;5;21;6;8;56;0.15;14.3;220;0.13;0.55;0.03;0.38;64;0.1;0.08;0.03;0.18;8.99
38_B;SURFACE;0;0;40.13;0.65;0.05;7.4;58;2.23;0.1;108;116;1.95;6.38;3.4;77;12;0;4;3;13;14;17;0.3;0;3.4;5.95;0.09;0.1;0.18;0.26;0.25;0.23;0.09;0.03;1.45;0.05
